Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,College Graduate,Life Sciences,Moderate Satisfaction,Female,94,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Single,5993,19479,8,Yes,11,Excellent Performance,Low Satisfaction,0,8,0,Poor Balance,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,High School or Below,Life Sciences,High Satisfaction,Male,61,Moderate Involvement,Junior Level,Research Scientist,Moderate Satisfaction,Married,5130,24907,1,No,23,Outstanding Performance,Very High Satisfaction,1,10,3,Better Balance,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,College Graduate,Other,Very High Satisfaction,Male,92,Moderate Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,2090,2396,6,Yes,15,Excellent Performance,Moderate Satisfaction,0,7,3,Better Balance,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Master’s Degree,Life Sciences,Very High Satisfaction,Female,56,High Involvement,Entry Level,Research Scientist,High Satisfaction,Married,2909,23159,1,Yes,11,Excellent Performance,High Satisfaction,0,8,3,Better Balance,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,High School or Below,Medical,Low Satisfaction,Male,40,High Involvement,Entry Level,Laboratory Technician,Moderate Satisfaction,Married,3468,16632,9,No,12,Excellent Performance,Very High Satisfaction,1,6,3,Better Balance,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,College Graduate,Life Sciences,Very High Satisfaction,Male,79,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Single,3068,11864,0,No,13,Excellent Performance,High Satisfaction,0,8,2,Good Balance,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor’s Degree,Medical,High Satisfaction,Female,81,Very High Involvement,Entry Level,Laboratory Technician,Low Satisfaction,Married,2670,9964,4,Yes,20,Outstanding Performance,Low Satisfaction,3,12,3,Good Balance,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,High School or Below,Life Sciences,Very High Satisfaction,Male,67,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Divorced,2693,13335,1,No,22,Outstanding Performance,Moderate Satisfaction,1,1,2,Better Balance,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,44,Moderate Involvement,Mid Level,Manufacturing Director,High Satisfaction,Single,9526,8787,0,No,21,Outstanding Performance,Moderate Satisfaction,0,10,2,Better Balance,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor’s Degree,Medical,High Satisfaction,Male,94,High Involvement,Junior Level,Healthcare Representative,High Satisfaction,Married,5237,16577,6,No,13,Excellent Performance,Moderate Satisfaction,2,17,3,Good Balance,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,Bachelor’s Degree,Medical,Low Satisfaction,Male,84,Very High Involvement,Entry Level,Laboratory Technician,Moderate Satisfaction,Married,2426,16479,0,No,13,Excellent Performance,High Satisfaction,1,6,5,Better Balance,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,College Graduate,Life Sciences,Very High Satisfaction,Female,49,Moderate Involvement,Junior Level,Laboratory Technician,High Satisfaction,Single,4193,12682,0,Yes,12,Excellent Performance,Very High Satisfaction,0,10,3,Better Balance,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,High School or Below,Life Sciences,Low Satisfaction,Male,31,High Involvement,Entry Level,Research Scientist,High Satisfaction,Divorced,2911,15170,1,No,17,Excellent Performance,Very High Satisfaction,1,5,1,Good Balance,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,College Graduate,Medical,Moderate Satisfaction,Male,93,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Divorced,2661,8758,0,No,11,Excellent Performance,High Satisfaction,1,3,2,Better Balance,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,50,Moderate Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,2028,12947,5,Yes,14,Excellent Performance,Moderate Satisfaction,0,6,4,Better Balance,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,Master’s Degree,Life Sciences,Moderate Satisfaction,Female,51,Very High Involvement,Mid Level,Manufacturing Director,Low Satisfaction,Divorced,9980,10195,1,No,11,Excellent Performance,High Satisfaction,1,10,1,Better Balance,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,College Graduate,Life Sciences,Low Satisfaction,Male,80,Very High Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Divorced,3298,15053,0,Yes,12,Excellent Performance,Very High Satisfaction,2,7,5,Good Balance,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,College Graduate,Medical,Very High Satisfaction,Male,96,Very High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Divorced,2935,7324,1,Yes,13,Excellent Performance,Moderate Satisfaction,2,1,2,Good Balance,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,Master’s Degree,Life Sciences,Low Satisfaction,Female,78,Moderate Involvement,Senior Level,Manager,Very High Satisfaction,Married,15427,22021,2,No,16,Excellent Performance,High Satisfaction,0,31,3,Better Balance,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,45,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,3944,4306,5,Yes,11,Excellent Performance,High Satisfaction,0,6,3,Better Balance,3,2,1,2
